                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 2.1574,                 5.6875,                0.48556,                 4.1903,                 2.2664,                0.06539,                0.49618,                 0.1355,                 0.0459,                0.02918,                0.22137,                0.03117,                0.00695,                 2.2815,                 5.3246,                0.30512,                 3.9767,                 2.7067,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.1731,                 5.5957,                0.48592,                 3.9439,                 2.3542,                0.01482,                0.75573,                0.08077,                0.02739,                0.00703,                0.35878,                 0.0503,                0.01152,                 2.2384,                 5.4917,                0.26878,                 3.4356,                 2.9282,              0.0018548,              0.0018548,              0.0018548
                     24,                 2.4273,                 6.3032,                0.56625,                 4.0801,                 2.5814,                 0.0418,                0.48092,                0.11568,                0.03732,                0.01792,                0.20611,                0.01591,                0.00368,                 2.2802,                 5.6387,                0.32014,                 3.7928,                 2.7748,              0.0018482,              0.0018482,              0.0018482
                     25,                  2.324,                 6.1418,                0.51883,                 4.0542,                 2.4936,                0.02666,                0.75573,                0.10624,                0.03586,                0.01751,                0.49618,                0.03928,                0.00781,                 2.2529,                 5.4507,                0.29286,                 3.3418,                 2.7526,              0.0018416,              0.0018416,              0.0018416
                     26,                 2.2921,                 6.1351,                0.53632,                 4.1647,                 2.4237,                0.03055,                0.75573,                 0.1972,                0.06342,                0.01913,                0.47328,                0.03544,                0.00641,                 2.2773,                 5.3547,                0.26685,                 3.4575,                 2.7419,               0.001835,               0.001835,               0.001835
                     27,                 2.1943,                 5.8422,                0.48884,                 4.0229,                 2.4003,                0.01991,                0.74809,                0.11771,                0.04087,                0.00995,                0.37405,                0.01733,                 0.0037,                  2.344,                 5.8381,                0.31495,                 3.4662,                  2.736,              0.0018284,              0.0018284,              0.0018284
                     28,                 2.3281,                 6.1573,                0.49582,                 4.1862,                 2.4748,                0.02603,                0.55725,                 0.1069,                0.03383,                0.01462,                0.31298,                0.02285,                0.00425,                 2.2826,                 5.5391,                0.27306,                 3.8154,                 2.7401,              0.0018218,              0.0018218,              0.0018218
                     29,                 2.0966,                 5.7171,                0.49473,                 3.9126,                  2.314,                0.04545,                0.75573,                0.27585,                0.08302,                0.02617,                0.43511,                0.04566,                0.00886,                 2.2426,                 5.3016,                0.24511,                 3.5355,                  2.774,              0.0018152,              0.0018152,              0.0018152
                     30,                 2.2207,                 5.5551,                0.49228,                 4.0377,                 2.3407,                0.04957,                0.43511,                0.11793,                0.03735,                0.02348,                0.20611,                0.02698,                0.00546,                 2.1988,                 5.3284,                0.26647,                 3.7921,                 2.6818,              0.0018086,              0.0018086,              0.0018086
                     31,                 2.1479,                 5.7762,                0.44966,                 3.8956,                 2.3469,                0.04221,                0.76336,                0.19863,                0.06141,                0.02153,                0.38931,                0.06191,                0.01423,                 2.2678,                 5.4817,                0.21718,                 3.4058,                 2.7184,               0.001802,               0.001802,               0.001802
                     32,                 2.2578,                 5.8798,                0.51198,                  3.967,                 2.4702,                0.03288,                0.67176,                0.04016,                0.01271,                0.01457,                0.29771,                0.01345,                0.00215,                 2.4362,                 6.1703,                0.23969,                 3.6822,                  2.696,              0.0017954,              0.0017954,              0.0017954
                     33,                 2.0076,                 5.0607,                0.44441,                 3.8163,                 2.2509,                0.02972,                0.70992,                0.18269,                0.05437,                0.02045,                0.48855,                0.04914,                0.01024,                 2.2069,                 5.4017,                 0.2252,                 3.4415,                 2.6995,              0.0017888,              0.0017888,              0.0017888
                     34,                 2.2395,                 5.9753,                0.50012,                 4.0534,                 2.3935,                0.04009,                0.52672,                0.08434,                 0.0257,                0.02382,                0.31298,                0.01874,                0.00423,                 2.1529,                 5.4326,                0.26568,                 3.7965,                 2.5967,              0.0017822,              0.0017822,              0.0017822
                     35,                 2.1534,                 5.7898,                0.48345,                 3.9746,                 2.3898,                0.06061,                0.62595,                0.15966,                0.04756,                0.02143,                0.22137,                 0.0238,                0.00452,                 2.4133,                 6.0097,                0.29011,                 3.9485,                  2.753,              0.0017756,              0.0017756,              0.0017756
                     36,                 2.1806,                 5.9813,                0.48417,                 4.0495,                 2.3363,                0.02191,                0.87023,                0.16518,                0.05546,                0.00961,                0.38168,                0.04146,                0.00819,                 2.1526,                 5.4183,                0.23827,                 3.3422,                 2.5777,               0.001769,               0.001769,               0.001769
                     37,                 2.0775,                 5.5778,                0.45142,                 3.8042,                 2.2141,                0.04662,                0.54198,                0.17125,                0.06861,                0.02298,                0.26718,                0.03726,                0.00721,                 2.2018,                 5.5263,                0.22763,                 3.8295,                 2.6195,              0.0017624,              0.0017624,              0.0017624
