                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.7484,                 4.9019,                0.34763,                 3.3862,                 1.9892,                0.07072,                0.87023,                0.47616,                0.21034,                0.04777,                0.58779,                0.18453,                 0.0478,                  1.946,                 4.6941,                0.16628,                 2.9988,                 2.4249,               0.001439,               0.001439,               0.001439
                     87,                 1.8381,                 5.2502,                0.43411,                 3.4754,                 2.1234,                0.08177,                0.76336,                0.37031,                0.15974,                0.04988,                0.46565,                0.14308,                0.02773,                 1.9419,                 4.8185,                0.18748,                 3.3783,                 2.3835,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.6878,                   4.72,                0.39243,                 3.2776,                 1.9407,                0.12559,                0.80916,                0.41655,                0.18349,                0.06635,                0.42748,                0.15112,                0.04096,                  1.944,                 4.9099,                0.20969,                  3.197,                 2.3912,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.7934,                 4.8458,                0.40338,                 3.5011,                 2.0714,                0.07472,                0.87786,                0.45312,                0.17923,                0.04418,                0.51908,                0.14939,                0.03107,                 1.8921,                 4.6783,                0.22287,                 3.0277,                 2.3868,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.7536,                 4.8551,                0.37231,                  3.455,                 1.9875,                0.25309,                0.62595,                0.42393,                0.18625,                0.14198,                0.35115,                0.15804,                0.03698,                 2.1296,                 4.8611,                0.21781,                 3.8901,                 2.5008,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.9315,                 5.2121,                0.42503,                 3.6485,                 2.1405,                0.05806,                0.78626,                0.34957,                0.14506,                0.03664,                0.49618,                0.13778,                0.03503,                 1.9564,                 4.8832,                0.20846,                 3.2135,                 2.4271,               0.001406,               0.001406,               0.001406
                     92,                 1.7876,                 5.3185,                0.37443,                 3.4597,                 2.0488,                0.04568,                0.92366,                0.29742,                 0.1072,                0.02982,                0.60305,                0.08731,                0.01779,                 2.0128,                 4.8743,                0.19356,                 2.7804,                 2.4403,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.6825,                 4.6511,                0.35392,                 3.3319,                 1.9077,                0.30052,                0.44275,                 0.3492,                0.15611,                 0.1658,                0.24427,                0.18396,                 0.0423,                 1.9869,                 4.9283,                0.21985,                 4.2096,                 2.3826,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.8217,                 5.3974,                 0.3858,                 3.3678,                 2.1037,                0.03001,                 0.9771,                0.33571,                0.12622,                 0.0204,                0.66412,                0.10459,                0.02622,                 1.8402,                 4.7019,                0.18141,                 2.4556,                 2.2954,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.7922,                 4.9441,                0.43182,                 3.2816,                 2.1109,                0.06846,                0.85496,                0.45864,                0.19532,                0.03912,                0.48855,                0.18463,                0.04749,                 1.8034,                 4.6738,                0.16534,                 2.8843,                 2.3013,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.8691,                 5.5333,                0.41538,                 3.4667,                 2.0855,                0.12784,                0.68702,                0.42959,                0.18157,                0.06818,                0.36641,                0.14801,                0.04013,                 1.9683,                 4.8826,                0.22955,                 3.5663,                 2.3841,               0.001373,               0.001373,               0.001373
                     97,                 1.7486,                 5.2139,                0.40034,                 3.3959,                 1.9537,                0.13245,                0.76336,                0.46098,                0.20749,                 0.0702,                0.40458,                0.21451,                0.04542,                 1.9083,                 4.7009,                 0.2142,                 3.3325,                 2.3655,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.7462,                 4.9043,                0.38139,                 3.3539,                 1.9655,                0.07209,                0.83206,                0.31129,                0.13718,                 0.0463,                0.53435,                0.11783,                0.02565,                 1.8598,                  4.594,                0.19247,                 3.1466,                 2.2941,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.7882,                 5.1346,                0.40743,                 3.4127,                 2.0889,                0.05146,                0.93893,                0.44098,                0.20047,                0.03347,                0.61069,                0.16157,                0.03879,                 1.8684,                 4.6408,                 0.1583,                 2.6123,                 2.3489,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.7965,                 4.8819,                0.37917,                 3.3367,                 2.0512,                0.13317,                0.82443,                0.45303,                0.21499,                0.07645,                0.47328,                0.17858,                0.04722,                 1.8985,                 4.6919,                0.20772,                 3.3007,                  2.349,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.7493,                 5.0236,                0.42499,                  3.268,                 2.0041,                0.09724,                0.77863,                0.42174,                0.18308,                0.05815,                0.46565,                0.17405,                0.04478,                 1.8927,                 4.6345,                0.20073,                 3.1988,                  2.358,                0.00134,                0.00134,                0.00134
                    102,                 1.8033,                 5.1033,                0.42242,                 3.3563,                 2.0376,                0.08104,                0.80916,                0.40533,                0.17467,                0.04893,                0.48855,                0.11552,                0.02616,                 1.9025,                 4.7411,                 0.2079,                 3.2247,                 2.3622,              0.0013334,              0.0013334,              0.0013334
                    103,                   1.83,                 5.1535,                 0.4009,                 3.1039,                 2.0838,                0.06687,                0.83969,                0.47014,                0.24075,                 0.0462,                0.58015,                 0.2122,                0.05878,                 1.8736,                 4.5523,                 0.2089,                 2.8356,                 2.2969,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.7227,                 5.0077,                0.37448,                 3.3515,                 1.9656,                0.16958,                0.74046,                0.41615,                0.19272,                0.09615,                0.41985,                0.16814,                0.04446,                 1.9274,                 4.8048,                0.22273,                 3.6073,                 2.3805,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.7942,                 5.2637,                0.38959,                 3.3316,                 2.0373,                0.05305,                0.96183,                0.49739,                0.21745,                0.03537,                0.64122,                0.19967,                 0.0444,                 1.8608,                 4.6834,                0.16272,                 2.6327,                 2.3563,              0.0013136,              0.0013136,              0.0013136
                    106,                  1.825,                 5.0345,                0.41762,                 3.2898,                 2.0911,                0.09062,                 0.8626,                0.46148,                 0.2153,                0.05293,                0.50382,                0.22502,                0.05304,                 1.9013,                 4.7153,                0.18647,                 3.0002,                 2.3786,               0.001307,               0.001307,               0.001307
                    107,                 1.7152,                 4.8974,                0.37984,                 3.2662,                 1.9132,                0.18966,                0.75573,                0.46144,                0.20062,                0.10728,                0.42748,                0.15229,                 0.0403,                 1.8669,                 4.6437,                0.20286,                 3.5388,                  2.357,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.6542,                  4.637,                0.39059,                 3.2763,                 1.9554,                0.06144,                0.91603,                0.42256,                0.18781,                0.04096,                0.61069,                0.17857,                0.04797,                 1.8191,                 4.6319,                0.17889,                 2.6995,                 2.3815,              0.0012938,              0.0012938,              0.0012938
                    109,                  1.628,                 4.7707,                0.36945,                 3.2605,                 1.9389,                0.15732,                0.77099,                 0.5086,                0.22526,                0.09034,                0.44275,                0.18407,                0.05239,                 1.9074,                 4.6011,                  0.195,                 3.4189,                 2.3936,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.6428,                 4.6329,                0.33454,                 3.2563,                 1.8852,                0.04857,                0.96947,                0.47105,                0.21871,                0.03098,                0.61832,                0.22223,                0.05429,                 1.7697,                 4.4327,                 0.1507,                 2.6432,                 2.3064,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.7322,                 4.8925,                0.37061,                  3.072,                 1.9979,                 0.0764,                 0.8626,                0.44124,                0.19175,                 0.0453,                0.51145,                 0.2069,                 0.0528,                 1.9227,                 4.6596,                0.17953,                 2.9644,                 2.3782,               0.001274,               0.001274,               0.001274
                    112,                 1.6673,                 4.8524,                0.38155,                 3.2144,                 1.9803,                0.14388,                0.76336,                0.45212,                0.21529,                0.08201,                0.43511,                 0.1872,                0.03983,                 1.9402,                 4.8749,                0.20716,                 3.5032,                  2.331,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.6452,                 4.5361,                0.39123,                 3.1586,                 1.8626,                 0.1757,                0.71756,                0.46978,                 0.2353,                0.09346,                0.38168,                0.24751,                0.06999,                 1.9099,                 4.6085,                0.19546,                 3.4666,                 2.3669,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.6523,                 4.7408,                0.38215,                 3.1377,                 1.9226,                0.05049,                0.94656,                0.55396,                  0.251,                0.03298,                0.61832,                 0.2455,                0.05866,                 1.8538,                 4.7747,                0.19472,                 2.5156,                 2.3304,              0.0012542,              0.0012542,              0.0012542
                    115,                  1.571,                 4.5409,                0.36941,                  3.251,                 1.8459,                0.11467,                0.84733,                 0.5286,                  0.243,                0.06405,                0.47328,                0.22491,                0.06034,                 1.9008,                 4.6922,                0.18712,                 3.1404,                 2.3751,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.5723,                 4.3793,                0.35223,                 3.1246,                 1.8206,                0.21018,                0.72519,                0.51202,                 0.2142,                0.12168,                0.41985,                0.23027,                0.07235,                 2.0226,                 4.5361,                0.20407,                 3.4355,                 2.4411,               0.001241,               0.001241,               0.001241
                    117,                 1.6526,                 4.6711,                0.35129,                  3.154,                 1.9068,                0.14768,                0.80153,                0.47421,                0.21285,                0.07173,                0.38931,                0.16309,                0.04448,                 1.9958,                 4.8166,                0.17772,                  3.315,                 2.4777,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.6639,                 4.9094,                0.39626,                 3.0536,                 1.9422,                0.09516,                0.83969,                0.50054,                0.22921,                 0.0545,                0.48092,                0.18947,                0.04631,                 1.8874,                 4.8038,                0.18186,                 3.0057,                 2.3908,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.6543,                 4.8182,                0.34865,                 3.1289,                 1.9245,                0.10156,                0.79389,                0.47579,                0.22111,                0.04688,                0.36641,                0.11505,                0.02994,                 1.9406,                 4.8459,                0.20677,                 3.3192,                 2.3914,              0.0012212,              0.0012212,              0.0012212
                    120,                  1.802,                 4.9575,                0.38617,                  3.331,                 1.9831,                0.08927,                0.87023,                0.49356,                 0.2482,                0.05325,                0.51908,                0.20251,                0.05836,                  1.787,                 4.4481,                0.18224,                 2.9229,                 2.2404,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.6113,                 4.7559,                0.40398,                 3.2512,                 1.8639,                0.06997,                 0.8626,                0.49812,                0.22817,                 0.0452,                0.55725,                0.22927,                0.06063,                 1.9496,                  4.683,                0.18576,                 2.7381,                  2.424,               0.001208,               0.001208,               0.001208
                    122,                 1.7421,                  4.857,                0.39761,                  3.193,                 1.9562,                0.07718,                0.89313,                0.51208,                0.24365,                0.04881,                0.56489,                0.26893,                 0.0559,                 1.7966,                 4.6468,                0.21019,                 2.9075,                   2.27,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.6522,                 4.6905,                0.36759,                  3.187,                 1.9296,                0.13333,                0.70229,                0.42601,                0.21883,                0.07536,                0.39695,                  0.205,                0.05857,                 1.8916,                 4.6665,                0.20905,                  3.485,                   2.34,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.7032,                 4.7455,                0.42477,                 3.1441,                 1.9696,                0.10398,                0.77863,                0.49017,                0.21351,                0.06728,                0.50382,                0.22626,                0.05777,                 1.8785,                  4.779,                0.20977,                 3.0861,                 2.3654,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.5469,                  4.803,                0.38561,                 3.1638,                  1.838,                0.07223,                0.83206,                0.51992,                0.25039,                0.04639,                0.53435,                 0.2113,                0.05267,                 1.8232,                 4.6368,                0.22544,                 2.8722,                 2.2966,              0.0011816,              0.0011816,              0.0011816
                    126,                  1.627,                 4.9717,                0.37781,                 3.0882,                 1.9102,                0.10563,                0.81679,                0.50992,                0.24249,                0.06318,                0.48855,                 0.2141,                0.06174,                 1.8891,                  4.694,                0.21566,                 2.9305,                 2.3286,               0.001175,               0.001175,               0.001175
                    127,                 1.7563,                 4.9425,                0.37329,                 3.4029,                 1.9955,                0.07578,                0.77863,                0.46455,                 0.2407,                0.05498,                0.56489,                0.25188,                0.06484,                 1.8304,                 4.5079,                0.19269,                 2.9159,                 2.3085,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.6949,                 4.6801,                0.36706,                  3.123,                 1.9466,                0.07297,                0.74809,                0.41603,                0.19552,                0.05063,                0.51908,                0.20467,                0.06576,                 1.9261,                 4.6689,                0.21638,                 3.1184,                 2.3832,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.7021,                 4.7808,                0.37744,                 3.1366,                 1.9496,                0.08043,                 0.8626,                 0.5387,                0.25937,                0.05125,                0.54962,                 0.2606,                0.07249,                 1.8419,                 4.4922,                0.20061,                 2.9671,                 2.2792,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.6674,                 5.0076,                0.36175,                 3.1885,                    1.9,                0.12564,                0.74809,                0.42745,                0.21629,                0.07564,                0.45038,                0.19332,                0.06431,                 1.8381,                 4.5084,                0.20116,                 3.3695,                 2.2902,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.6751,                  4.788,                0.38753,                 3.0275,                 2.0064,                0.75154,                0.32328,                0.52238,                0.25799,                0.49431,                0.20611,                0.23836,                 0.0566,                 1.8402,                 4.4736,                0.18519,                  2.868,                 2.3093,               0.001142,               0.001142,               0.001142
                    132,                 1.6289,                 4.9235,                0.32504,                 3.3509,                 1.8259,                0.18613,                0.77863,                0.52415,                 0.2559,                0.12044,                0.50382,                0.29452,                0.08369,                 1.9078,                  4.629,                0.16096,                 3.1789,                 2.3677,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.5939,                 4.6055,                0.36587,                 3.1855,                 1.8448,                0.13562,                0.75573,                0.47071,                0.23846,                0.09041,                0.50382,                0.24618,                0.06826,                 1.7949,                 4.5038,                0.18426,                 3.2083,                 2.2945,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.6871,                  4.926,                  0.366,                 3.1069,                 1.9937,                0.07213,                0.83969,                0.53273,                  0.252,                0.05049,                0.58779,                0.22863,                0.06599,                 1.7493,                 4.3672,                0.17245,                 2.8574,                  2.242,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.5445,                 4.8133,                0.39073,                 3.0604,                 1.8341,                0.11005,                0.79389,                0.49326,                0.22835,                0.07302,                0.52672,                0.25234,                0.06484,                 1.7645,                 4.4661,                 0.1913,                 3.2282,                 2.2636,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.5779,                 4.4866,                0.38061,                 3.0214,                 1.8895,                0.07342,                 0.8626,                0.48932,                 0.2549,                0.05068,                0.59542,                0.25421,                 0.0672,                 1.7946,                 4.5543,                0.18923,                 2.9139,                 2.2601,               0.001109,               0.001109,               0.001109
                    137,                 1.5863,                 4.5662,                0.37747,                 3.2119,                 1.8315,                0.14024,                0.81679,                0.51879,                0.27664,                0.08388,                0.48855,                0.27343,                0.07285,                 1.8188,                 4.6252,                0.18359,                  3.257,                  2.294,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.5256,                 4.2852,                 0.3673,                 2.9754,                 1.8223,                0.10428,                0.85496,                0.55985,                0.26578,                0.06983,                0.57252,                0.22936,                0.06089,                 1.7323,                 4.4477,                0.17396,                 2.8501,                 2.2466,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.6825,                 4.5706,                0.37373,                 3.0511,                  1.876,                0.09732,                0.83206,                0.47914,                0.23555,                0.06875,                0.58779,                0.24722,                0.07594,                 1.8391,                 4.5183,                0.20362,                 2.9814,                 2.2425,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.6203,                 4.5213,                0.38755,                 3.0284,                 1.9091,                0.08433,                0.91603,                 0.5772,                 0.2947,                0.05622,                0.61069,                0.25833,                0.08328,                 1.7669,                 4.4259,                0.17655,                 2.6318,                 2.2516,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.5654,                 4.9658,                0.36653,                 3.1296,                 1.8583,                0.12067,                0.82443,                0.51833,                0.26965,                0.07933,                0.54198,                0.24626,                0.07451,                 1.7232,                  4.447,                0.18335,                 2.9367,                 2.1892,               0.001076,               0.001076,               0.001076
                    142,                 1.6099,                 4.5701,                0.43562,                 3.0588,                 1.8917,                 0.1028,                0.87023,                0.54458,                0.28576,                0.07124,                0.60305,                0.30848,                0.08755,                 1.7673,                 4.3254,                0.18056,                 2.7306,                 2.2482,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.6094,                 4.6603,                0.39903,                 3.0735,                 1.9333,                 0.1402,                0.74809,                0.47312,                0.24538,                0.09442,                0.50382,                0.24379,                0.07161,                 1.7974,                 4.4836,                0.19761,                 3.1486,                 2.2536,              0.0010628,              0.0010628,              0.0010628
                    144,                 1.6093,                 4.7986,                0.39302,                 3.0089,                 1.8922,                0.26113,                0.67176,                 0.5492,                0.25421,                0.16583,                0.46565,                0.24173,                0.06492,                 1.7991,                 4.4718,                0.19944,                 2.5757,                 2.2694,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.7299,                 4.7805,                0.40784,                 3.2654,                  2.015,                0.12377,                0.77099,                0.47152,                0.25395,                0.08456,                0.52672,                0.21293,                0.06763,                 1.7727,                 4.5675,                0.20362,                 3.2017,                 2.2172,              0.0010496,              0.0010496,              0.0010496
                    146,                 1.5981,                 4.9617,                0.40705,                 3.1352,                  1.907,                0.16721,                0.74046,                0.49251,                0.25284,                0.12239,                0.54198,                0.24698,                0.07159,                 1.7725,                 4.5135,                0.19066,                 2.6763,                 2.2417,               0.001043,               0.001043,               0.001043
                    147,                 1.5703,                 4.7435,                0.35689,                 3.0077,                 1.8674,                0.15267,                0.76336,                0.52025,                0.25967,                0.10382,                0.51908,                0.23317,                0.06476,                 1.8567,                 4.7172,                0.19476,                 3.0494,                 2.2998,              0.0010364,              0.0010364,              0.0010364
                    148,                 1.6156,                 4.7787,                  0.356,                 3.0966,                 1.8584,                0.11406,                0.78626,                0.49723,                0.25185,                0.07198,                0.49618,                0.25271,                0.06761,                 1.9246,                 4.7086,                 0.1908,                 2.9906,                 2.3553,              0.0010298,              0.0010298,              0.0010298
                    149,                 1.4879,                 4.8171,                0.35856,                 3.0376,                 1.7895,                 0.1298,                0.87786,                0.54494,                 0.2696,                0.08014,                0.54198,                0.25438,                 0.0708,                 1.7057,                 4.3382,                0.16962,                 2.6518,                 2.1921,              0.0010232,              0.0010232,              0.0010232
                    150,                 1.5513,                 4.4018,                0.38294,                 3.1008,                 1.8344,                0.17327,                0.80153,                0.57239,                0.29266,                0.11221,                0.51908,                0.25883,                0.06971,                 1.7915,                 4.7589,                0.17418,                 3.0247,                 2.2548,              0.0010166,              0.0010166,              0.0010166
                    151,                 1.6191,                 5.0397,                0.42651,                 3.0301,                 1.9488,                0.13022,                0.80916,                0.55107,                 0.2737,                0.08354,                0.51908,                 0.2277,                0.05304,                 1.7744,                 4.7191,                0.17284,                 2.9046,                  2.275,                0.00101,                0.00101,                0.00101
                    152,                   1.54,                 4.3802,                0.40397,                 3.0044,                 1.8417,                0.15668,                0.77863,                 0.5235,                0.26357,                0.09677,                0.48092,                 0.2202,                0.05876,                 1.7792,                 4.5835,                0.18654,                 2.9891,                 2.2322,              0.0010034,              0.0010034,              0.0010034
                    153,                 1.4765,                 4.2517,                 0.3385,                 3.0317,                 1.7537,                0.09567,                0.89313,                0.60178,                0.30962,                0.06051,                0.56489,                0.28583,                0.07587,                 1.6829,                 4.4239,                 0.1658,                 2.6829,                 2.2018,              0.0009968,              0.0009968,              0.0009968
                    154,                  1.558,                 4.9058,                0.42126,                 2.8836,                 1.9134,                 0.0965,                 0.8626,                0.52565,                0.24568,                0.06576,                0.58779,                0.22178,                0.05603,                 1.7383,                  4.393,                0.19201,                 2.6838,                 2.2574,              0.0009902,              0.0009902,              0.0009902
                    155,                 1.5332,                 4.4698,                0.37226,                 3.0497,                 1.8334,                0.14231,                0.84733,                0.51563,                0.26369,                0.08846,                0.52672,                0.24181,                0.06317,                 1.7011,                 4.6794,                0.21424,                 3.0311,                 2.1561,              0.0009836,              0.0009836,              0.0009836
                    156,                 1.4429,                 4.3372,                0.39188,                 2.9544,                 1.7741,                0.13235,                0.82443,                0.55025,                0.28685,                0.08824,                0.54962,                0.28967,                0.07892,                 1.7244,                 4.5791,                0.17946,                 2.7359,                 2.2134,               0.000977,               0.000977,               0.000977
                    157,                 1.5048,                 4.3202,                 0.3474,                 2.9804,                 1.7482,                0.13349,                0.87023,                0.60564,                0.32004,                0.09133,                0.59542,                0.34357,                0.09983,                 1.7612,                 4.5881,                0.19594,                 2.9278,                 2.2087,              0.0009704,              0.0009704,              0.0009704
                    158,                 1.5308,                 4.4915,                0.34212,                 2.9285,                 1.8544,                0.14986,                0.83969,                0.53197,                0.27028,                0.09537,                0.53435,                0.29743,                0.08845,                 1.8255,                   4.46,                0.18133,                  2.844,                 2.2499,              0.0009638,              0.0009638,              0.0009638
                    159,                 1.4954,                 4.4513,                 0.3636,                 2.8574,                  1.828,                0.17863,                0.77863,                0.53439,                0.27617,                0.11033,                0.48092,                0.27128,                 0.0849,                 1.7768,                  4.474,                0.21401,                 3.1242,                 2.2219,              0.0009572,              0.0009572,              0.0009572
                    160,                 1.4104,                 4.4156,                0.34854,                 2.9494,                 1.6959,                0.26431,                0.74046,                0.58353,                0.32019,                0.16076,                0.45038,                 0.3069,                0.07914,                 1.7228,                 4.5817,                0.19094,                 3.3255,                 2.1993,              0.0009506,              0.0009506,              0.0009506
                    161,                 1.5557,                 4.3488,                0.34043,                 2.9742,                 1.8011,                0.09648,                0.87786,                 0.5504,                 0.2853,                0.06376,                0.58015,                0.25063,                0.06374,                 1.7231,                 4.5617,                0.17718,                 2.5808,                 2.1685,               0.000944,               0.000944,               0.000944
                    162,                 1.5085,                 4.6753,                0.38998,                 2.8726,                 1.8397,                0.14421,                0.80153,                0.53361,                0.28619,                0.13272,                0.45802,                0.25269,                0.07568,                 1.7318,                 4.5625,                0.19876,                 2.7054,                 2.1795,              0.0009374,              0.0009374,              0.0009374
                    163,                 1.5069,                 4.5195,                0.33515,                 2.8893,                 1.8092,                0.13391,                0.83206,                0.54731,                0.29779,                0.19019,                0.41221,                0.26583,                0.07786,                 1.7198,                 4.5677,                 0.2036,                 2.9388,                 2.1054,              0.0009308,              0.0009308,              0.0009308
                    164,                 1.5779,                 4.8616,                0.37388,                 2.9862,                 1.8791,                0.58307,                0.59783,                0.60294,                 0.3162,                0.36741,                0.29771,                 0.2721,                0.08436,                 1.6885,                 4.4057,                0.17082,                 2.6013,                 2.1683,              0.0009242,              0.0009242,              0.0009242
                    165,                 1.4622,                 4.3859,                 0.3522,                  2.968,                 1.7261,                0.13368,                0.77863,                0.58174,                0.31923,                0.08126,                0.47328,                0.31932,                 0.1089,                 1.6957,                 4.4532,                0.17707,                 3.1103,                 2.1232,              0.0009176,              0.0009176,              0.0009176
                    166,                 1.4801,                 4.6115,                0.38969,                 2.7851,                 1.7819,                 0.0897,                0.92366,                0.61939,                0.35759,                 0.1006,                0.57252,                  0.281,                 0.0846,                 1.6533,                 4.5836,                0.19655,                 2.4086,                 2.0718,               0.000911,               0.000911,               0.000911
                    167,                 1.4935,                  4.583,                0.36596,                 2.9768,                 1.7831,                0.12982,                0.84733,                0.56374,                0.31293,                0.08538,                0.55725,                 0.2379,                0.06612,                 1.7036,                 4.6443,                0.19209,                 2.7531,                 2.1416,              0.0009044,              0.0009044,              0.0009044
                    168,                 1.5445,                 4.8336,                0.40259,                 2.8726,                 1.8493,                0.35228,                0.68702,                0.57801,                0.30105,                0.25834,                0.50382,                0.32011,                0.07987,                 1.7369,                 4.4364,                0.20056,                 2.7329,                 2.1929,              0.0008978,              0.0008978,              0.0008978
                    169,                 1.4618,                 4.7084,                0.34757,                 2.8012,                 1.7409,                0.81424,                0.40156,                0.58147,                0.30181,                0.53916,                0.27481,                0.28164,                0.07145,                 1.6897,                 4.3581,                0.18872,                 2.4936,                 2.1515,              0.0008912,              0.0008912,              0.0008912
                    170,                 1.3781,                 4.5692,                0.31501,                 2.9328,                 1.6736,                0.20758,                0.87786,                0.65443,                0.36443,                0.13357,                0.56489,                 0.3131,                0.09149,                 1.6751,                 4.3592,                 0.1694,                 2.8988,                 2.1769,              0.0008846,              0.0008846,              0.0008846
                    171,                 1.4489,                 4.6349,                0.34623,                 2.8834,                 1.7813,                0.15565,                 0.8626,                0.58924,                0.29696,                0.09504,                0.52672,                0.25585,                0.08005,                 1.7014,                 4.3402,                0.17261,                 2.8669,                 2.2186,               0.000878,               0.000878,               0.000878
                    172,                 1.4442,                  4.378,                0.37733,                 3.0305,                 1.7321,                0.18849,                0.72519,                0.52833,                0.28318,                0.12698,                0.48855,                0.25405,                0.07896,                 1.7322,                 4.4095,                0.18559,                 3.2155,                 2.2048,              0.0008714,              0.0008714,              0.0008714
                    173,                 1.4829,                 4.4872,                0.36393,                 2.8526,                 1.7822,                0.20345,                0.80916,                0.57516,                0.31336,                0.13052,                0.51908,                0.30813,                0.09612,                 1.7076,                 4.3154,                0.17857,                 3.0371,                 2.1695,              0.0008648,              0.0008648,              0.0008648
                    174,                 1.4143,                 4.3906,                0.35574,                  2.797,                 1.7394,                0.29456,                0.68702,                0.53784,                0.28191,                0.18851,                0.39695,                 0.2482,                0.08334,                  1.688,                 4.4517,                0.18351,                 2.7003,                  2.178,              0.0008582,              0.0008582,              0.0008582
                    175,                 1.4613,                 4.5026,                0.39157,                 2.9331,                 1.7113,                0.20174,                0.70992,                0.54145,                0.29212,                  0.141,                0.49618,                0.28412,                0.09133,                  1.709,                 4.3404,                0.21464,                 3.3729,                 2.1517,              0.0008516,              0.0008516,              0.0008516
                    176,                 1.3849,                 4.3769,                0.35728,                 2.7933,                 1.7509,                0.24994,                0.77099,                 0.5919,                0.31487,                0.17887,                0.45802,                0.26527,                0.08348,                 1.6646,                  4.454,                0.18415,                 2.7006,                 2.1614,               0.000845,               0.000845,               0.000845
                    177,                 1.4485,                 4.7445,                0.35941,                 2.9573,                  1.768,                0.48467,                0.63359,                0.56852,                0.31863,                  0.443,                0.32824,                0.27186,                0.08413,                 1.6584,                 4.4171,                0.18373,                 2.7028,                 2.1538,              0.0008384,              0.0008384,              0.0008384
                    178,                 1.4608,                 4.6004,                0.37682,                  2.788,                 1.8065,                0.37558,                0.72087,                0.58544,                0.30741,                0.22691,                0.48855,                0.29192,                0.08085,                 1.7167,                 4.4787,                0.17692,                 2.6741,                 2.2222,              0.0008318,              0.0008318,              0.0008318
                    179,                 1.3934,                 4.1185,                0.34983,                 2.9008,                 1.7404,                0.16858,                0.78626,                0.56638,                0.31113,                0.22423,                0.46565,                0.33237,                0.09952,                 1.7148,                 4.4399,                 0.1833,                 2.9574,                 2.2078,              0.0008252,              0.0008252,              0.0008252
                    180,                 1.4505,                 4.4877,                 0.3883,                 2.8904,                 1.8002,                0.18803,                0.81679,                0.60194,                0.31936,                0.14951,                0.42748,                 0.2702,                0.08045,                 1.6647,                 4.4321,                0.18733,                 2.6575,                  2.137,              0.0008186,              0.0008186,              0.0008186
                    181,                  1.436,                 4.4835,                0.35533,                 3.0165,                 1.6985,                 0.2331,                0.76336,                 0.5746,                0.31363,                0.14452,                0.47328,                0.27914,                0.08409,                 1.6753,                 4.4811,                0.18419,                  3.195,                 2.1211,               0.000812,               0.000812,               0.000812
                    182,                  1.455,                 4.7663,                0.35572,                 2.7583,                  1.782,                0.12948,                0.85496,                0.59735,                0.33029,                0.08555,                0.56489,                0.28178,                 0.0789,                 1.6665,                 4.4615,                 0.1974,                 2.6722,                  2.084,              0.0008054,              0.0008054,              0.0008054
                    183,                 1.3743,                 4.5128,                0.33149,                 2.8099,                 1.6479,                0.24724,                0.78626,                0.59626,                0.33054,                0.20712,                0.44275,                0.30564,                0.07924,                 1.6342,                 4.4272,                0.19033,                 2.6957,                 2.1105,              0.0007988,              0.0007988,              0.0007988
